status	key	command
Composition	VirtualRight	MoveCursorRight
Conversion	VirtualRight	SegmentWidthExpand
Composition	VirtualLeft	MoveCursorLeft
Conversion	VirtualLeft	SegmentWidthShrink
Composition	VirtualEnter	Commit
Conversion	VirtualEnter	CommitOnlyFirstSegment
Conversion	Up	ConvertPrev
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Conversion	Shift Up	ConvertPrevPage
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Space	ConvertPrev
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Right	SegmentWidthExpand
Conversion	Shift Left	SegmentWidthShrink
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Shift Down	ConvertNextPage
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Conversion	PageUp	ConvertPrevPage
Conversion	PageDown	ConvertNextPage
Composition	Option z	DisplayAsHiragana
Conversion	Option z	DisplayAsHiragana
Composition	Option x	DisplayAsFullKatakana
Conversion	Option x	DisplayAsFullKatakana
Composition	Option Space	InsertFullSpace
Composition	Option s	DisplayAsHalfAlphanumeric
Conversion	Option s	DisplayAsHalfAlphanumeric
Composition	Option l	MoveCursorRight
Conversion	Option k	ConvertNext
Composition	Option j	MoveCursorLeft
Conversion	Option i	ConvertPrev
Composition	Option F5	DisplayAsHalfAlphanumeric
Conversion	Option F5	DisplayAsHalfAlphanumeric
Composition	Option F4	DisplayAsHalfWidth
Conversion	Option F4	DisplayAsHalfWidth
Composition	Option F3	DisplayAsFullAlphanumeric
Conversion	Option F3	DisplayAsFullAlphanumeric
Composition	Option F2	DisplayAsFullKatakana
Conversion	Option F2	DisplayAsFullKatakana
Composition	Option F1	DisplayAsHiragana
Conversion	Option F1	DisplayAsHiragana
Composition	Option c	DisplayAsFullAlphanumeric
Conversion	Option c	DisplayAsFullAlphanumeric
Composition	Option a	DisplayAsHalfWidth
Conversion	Option a	DisplayAsHalfWidth
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Composition	Home	MoveCursorToBeginning
Conversion	Home	SegmentFocusFirst
Composition	Hankaku/Zenkaku	IMEOff
Conversion	Hankaku/Zenkaku	IMEOff
DirectInput	Hankaku/Zenkaku	IMEOn
Precomposition	Hankaku/Zenkaku	IMEOff
Composition	F9	DisplayAsFullAlphanumeric
Conversion	F9	DisplayAsFullAlphanumeric
Composition	F8	DisplayAsHalfWidth
Conversion	F8	DisplayAsHalfWidth
Composition	F7	DisplayAsFullKatakana
Conversion	F7	DisplayAsFullKatakana
Composition	F6	DisplayAsHiragana
Conversion	F6	DisplayAsHiragana
Composition	F2	ConvertWithoutHistory
Composition	F10	DisplayAsHalfAlphanumeric
Conversion	F10	DisplayAsHalfAlphanumeric
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	End	MoveCursorToEnd
Conversion	End	SegmentFocusLast
Composition	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Conversion	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	Delete	Delete
Conversion	Ctrl x	ConvertNext
Conversion	Ctrl w	SegmentWidthExpand
DirectInput	Ctrl Shift r	Reconvert
Precomposition	Ctrl Shift r	Reconvert
Conversion	Ctrl s	SegmentFocusLeft
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl q	SegmentWidthShrink
Conversion	Ctrl p	ConvertPrev
Conversion	Ctrl o	SegmentWidthExpand
Conversion	Ctrl n	ConvertNext
Suggestion	Ctrl n	PredictAndConvert
Composition	Ctrl m	Commit
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl l	DisplayAsFullAlphanumeric
Conversion	Ctrl l	DisplayAsFullAlphanumeric
Composition	Ctrl k	DisplayAsFullKatakana
Conversion	Ctrl k	DisplayAsFullKatakana
Composition	Ctrl j	DisplayAsHiragana
Conversion	Ctrl j	DisplayAsHiragana
Conversion	Ctrl i	SegmentWidthShrink
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl g	Cancel
Composition	Ctrl f	MoveCursorRight
Conversion	Ctrl f	SegmentFocusRight
Composition	Ctrl e	MoveCursorToEnd
Conversion	Ctrl e	ConvertPrev
Prediction	Ctrl Delete	DeleteSelectedCandidate
Composition	Ctrl d	Delete
Conversion	Ctrl d	SegmentFocusRight
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl b	MoveCursorLeft
Conversion	Ctrl b	SegmentFocusLeft
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl ;	DisplayAsHalfWidth
Conversion	Ctrl ;	DisplayAsHalfWidth
Composition	Ctrl :	DisplayAsHalfAlphanumeric
Conversion	Ctrl :	DisplayAsHalfAlphanumeric
Composition	Ctrl '	DisplayAsHalfAlphanumeric
Conversion	Ctrl '	DisplayAsHalfAlphanumeric
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	F13	IMEOff
Conversion	F13	IMEOff
DirectInput	F14	IMEOn
Precomposition	F13	IMEOff
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
